Name,Country,Total Population (2020),Population Change (2000-2020),Total Births (2000-2020),Total Deaths (2000-2020),Natural Change (2000-2020),Net Migration (2000-2020)
Sydney,Australia,3346586.77734375,1189.744140625,938486.6909706667,416581.77437280706,476042.01129617885,-474852.26715555385
Melbourne,Australia,3033334.099609375,2821.84375,784785.8540729398,354098.6773251123,392337.0637172696,-389515.2199672696
Auckland,New Zealand,1285476.2373046875,266182.06103515625,349336.0534743877,128945.16222312866,202567.46195701242,63614.59907814382
Perth,Australia,1132860.4619140625,1576.1416015625,295019.3397963487,126219.15290204037,154364.39338819982,-152788.25178663732
Brisbane,Australia,1085191.8354492188,1638.14501953125,294414.2502303346,122020.33495496609,157945.140054944,-156306.99503541275
Dhaka,Bangladesh,30340668.703125,13321389.07421875,9346781.127187895,2599425.3463617903,6260846.951261939,7060542.122956811
New Delhi,India,27346702.2109375,10328631.16796875,8482075.122508612,2764856.573598135,5259592.621059134,5069038.546909616
Kolkata,India,20020388.453125,3102730.3828125,6042996.083798047,2506811.189497425,3260993.4112112783,-158263.02839877823
Mumbai,India,17874570.9140625,3664122.77734375,5108556.8650573185,2100572.626197553,2766030.7827319014,898091.9946118486
Karachi,Pakistan,14602126.4296875,5500592.306640625,5182971.350607095,1531913.2562911229,3376988.935377334,2123603.3712632917
Guangzhou,China,45464104.21875,18379564.40625,6260175.435470456,3217068.336499328,2687256.1462977524,15692308.259952247
Jakarta,Indonesia,36370152.87890625,15291744.751953125,9726279.80132119,3616837.6379009015,5565876.924585525,9725867.8273676
Tokyo,Japan,34483119.84375,4611663.03125,5710698.656170754,5146309.7396654,289967.2677189866,4321695.763531013
Shanghai,China,28557358.609375,14037391.03125,2820030.020852059,2399181.5825806824,264871.53255636257,13772519.498693638
Manila,Philippines,24151558.40625,6357051.40234375,11169434.894987276,2408600.400178924,8214096.004143854,-1857044.601800104
Moscow,Russia,13989030.31640625,3136695.66796875,1861795.5311072788,3773376.4951514164,-2026291.0932197915,5162986.761188542
London,United Kingdom,9808990.8828125,2221702.01953125,2423215.6626036554,1319521.7402317254,990090.2083917208,1231611.811139529
Paris,France,9562873.7421875,1251454.66015625,2527220.016148839,1066221.231960911,1346262.1247440628,-94807.4645878127
Madrid,Spain,5152904.85546875,1649067.443359375,908580.8637045606,542274.3242613624,319608.96121037105,1329458.482149004
Saint Petersburg,Russia,4303249.140625,477432.7998046875,567161.6505780887,1290014.1266078786,-755756.6603603396,1233189.460165027
Mexico City,México,19966059.40625,2780155.7265625,6259137.162063842,1757369.786741115,4254645.853566011,-1474490.1270035112
São Paulo,Brazil,19731453.2109375,3267829.171875,5591493.510904073,2058938.0613649008,3296659.030555736,-28829.85868073575
Buenos Aires,Argentina,14310891.1171875,3425959.515625,4344473.575646889,1682456.989694228,2442603.2828448405,983356.2327801592
Lima,Peru,10540453.8359375,4028011.4296875,2928135.222155045,884077.6676202085,1893910.0689580569,2134101.360729443
Bogota,Colombia,9957885.4453125,4793691.669921875,2095277.194567816,686570.6617618805,1290981.1715940572,3502710.498327818
Cairo,Egypt,19756306.71875,5709355.69921875,9507243.691059997,1993993.3032791163,7082873.694659504,-1373517.9954407539
Istanbul,Turkey,14642951.25,3808107.38671875,4444604.461375671,1211740.3043247734,3026362.6072805407,781744.7794382094
Alexandria,Egypt,5164282.369140625,1459998.294921875,1512275.0105985012,577905.8182288198,867130.6701615422,592867.6247603328
Doha,Qatar,4440706.130615234,4159527.6658935547,304983.7375994099,35316.99282649766,233246.2093681,3926281.4565254548
Baghdad,Iraq,4283198.9326171875,1412261.8325195312,2188085.1895448742,345679.5833444875,1720361.0677772406,-308099.2352577095
New York City,United States,13893729.2890625,608773.4609375,3629606.23534809,2149436.2547336686,1303530.729348474,-694757.2684109741
Los Angeles,United States,13275360.6484375,1360980.625,3578886.4835844534,1594753.859320652,1802288.013702327,-441307.38870232704
Toronto,Canada,5554907.552734375,1533296.26171875,1018074.0447486169,652555.5365630616,309288.4367123084,1224007.8250064417
Miami,United States,5456437.333984375,1014792.95703125,1216663.0241073333,900641.4092988877,252256.51538933805,762536.441641912
Chicago,United States,5345340.2578125,-304818.3046875,1468742.4725563065,817706.4562563127,583175.0560329573,-887993.3607204573
Suva,Fiji,234839.05993652344,54377.284088134766,81674.17207089665,25280.800438417285,52265.84204343508,2111.4420446996946
Nouméa,New Caledonia,92456.12701416016,26326.441284179688,28348.34962519926,8153.211051330758,18845.394837603308,7481.04644657638
Honiara,Solomon Islands,91938.19115447998,40446.74122619629,35925.716495102184,5976.614163331052,28000.263261198823,12446.477964997464
Port Moresby,Papua New Guinea,90069.40982055664,30007.82456970215,43658.89137588292,8293.09047668178,33040.14577787773,-3032.321208175581
Port Vila,Vanuatu,59376.95331573486,31281.218059539795,24129.514235053935,3830.2603099836456,18797.29539274173,12483.922666798066
Luanda,Angola,13906049.05859375,13382184.709747314,2664394.637708431,510754.39459670713,1759737.5801026914,11622447.129644623
Lagos,Nigeria,13012512.736328123,6056059.66796875,5644294.520671535,2344372.041642556,2970735.882950444,3085323.785018306
Johannesburg,South Africa,7793189.841796875,3430393.1806640625,2228911.0784348506,1418539.136068692,682379.8072156794,2748013.373448383
Kinshasa,Democratic Republic of the Congo,6933032.6376953125,2460246.041015625,3388368.687003093,1114218.7059107642,2092492.5664443914,367753.4745712337
Dar es-Salaam,Tanzania,6577412.19140625,4450086.539306641,2155608.183768375,637475.1818058989,1363568.1516193128,3086518.387687328
